realm,site_name_short,site_name,lat,lon,gasparRegion,gasparProvince,spaldingRegion,spaldingProvince,veron
Caribbean,Bahamas,Bahamas,24.59166,-77.233205,Western Atlantic,caribbean,12. Tropical Northwestern Atlantic,63. Bahamian,Bahamas & Florida South 
Caribbean,Bonaire.Island,Bonaire Island,12.193919,-68.655049,Western Atlantic,caribbean,12. Tropical Northwestern Atlantic,66. S o u t h e rn Caribbean,South Caribbean & Netherlands Antilles 
Caribbean,Cuba,Cuba,21.737224,-80.339608,Western Atlantic,caribbean,12. Tropical Northwestern Atlantic,65. Greater Antilles,Cuba & Cayman Islands 
Caribbean,Florida.Keys,Florida Keys,24.71152,-81.674968,Western Atlantic,caribbean,12. Tropical Northwestern Atlantic,70. Floridian,Bahamas & Florida South 
Caribbean,Guadeloupe,Guadeloupe,16.194364,-61.454162,Western Atlantic,caribbean,12. Tropical Northwestern Atlantic,64. E a s t e rn Caribbean,"Hispaniola, Puerto Rico and Lesser Antilles "
Caribbean,Martinique,Martinique,14.74018,-60.923424,Western Atlantic,caribbean,12. Tropical Northwestern Atlantic,64. E a s t e rn Caribbean,"Hispaniola, Puerto Rico and Lesser Antilles "
Caribbean,Mexican.Caribbean,Mexican Caribbean,21.239347,-87.235775,Western Atlantic,caribbean,12. Tropical Northwestern Atlantic,69. S o u t h e rnGulf of Mexico,"Bay of Campeche, Yucatan "
Caribbean,Navassa,Navassa,18.389828,-75.006419,Western Atlantic,caribbean,12. Tropical Northwestern Atlantic,65. Greater Antilles,Cuba & Cayman Islands 
Caribbean,"Pelican.Cays,.Belize","Pelican Cays, Belize",16.427876,-88.217057,Western Atlantic,caribbean,12. Tropical Northwestern Atlantic,69. S o u t h e rnGulf of Mexico,Belize & West Caribbean 
Caribbean,Saba...Netherland.Antilles,Saba - Netherland Antilles,17.434429,-63.322643,Western Atlantic,caribbean,12. Tropical Northwestern Atlantic,64. E a s t e rn Caribbean,"Hispaniola, Puerto Rico and Lesser Antilles "
Caribbean,Venezuela.(Tobago),Venezuela (Tobago),10.534994,-61.334251,Western Atlantic,caribbean,12. Tropical Northwestern Atlantic,66. S o u t h e rn Caribbean,South Caribbean & Netherlands Antilles 
